	Data	AED	AUD	BGN	BRL	CAD	CHF	CNY	CZK	DKK	EGP	EUR	GBP	HRK	100																		
0	04-01-21	1.0783	3.064	2.4895	0.7626	3.1245	4.5036	0.6129	0.1863	0.6546	0.2521	4.8691	5.4234	0.6444	1.349	0.0542	3.8537	0.366	0.2308	0.2004	0.467	2.8627	1.0702	0.0414	0.054	0.4849	0.1326	0.5382	0.1401	3.9609	246.2338	5.7384	0.2716
1	05-01-21	1.0798	3.0605	2.4905	0.7487	3.1139	4.5029	0.6136	0.186	0.6548	0.2533	4.871	5.3871	0.6444	1.3489	0.0542	3.8559	0.3645	0.2305	0.1992	0.4652	2.8608	1.0719	0.0414	0.0532	0.4834	0.1324	0.5379	0.1395	3.9661	248.2248	5.7401	0.267
2	06-01-21	1.0745	3.085	2.49	0.7467	3.1232	4.504	0.6115	0.1863	0.6547	0.252	4.87	5.3943	0.6442	1.3621	0.054	3.8378	0.3636	0.2305	0.1994	0.4701	2.8837	1.0801	0.0414	0.0535	0.4843	0.1321	0.5391	0.1396	3.9468	248.0447	5.7248	0.2637
3	07-01-21	1.0825	3.0762	2.49	0.7481	3.1235	4.4971	0.6148	0.1858	0.6546	0.2532	4.8701	5.3938	0.6443	1.362	0.0542	3.835	0.3633	0.2305	0.2005	0.4693	2.8799	1.0793	0.0414	0.0535	0.4832	0.1324	0.5481	0.1397	3.9758	244.4274	5.7446	0.2602
4	08-01-21	1.0833	3.0927	2.4902	0.7355	3.1372	4.4915	0.6155	0.1859	0.6548	0.2534	4.8704	5.4055	0.6434	1.3532	0.0543	3.8306	0.3644	0.2305	0.199	0.4714	2.8871	1.0775	0.0414	0.0534	0.4839	0.1324	0.5415	0.1397	3.9791	241.9034	5.748	0.2594
5	11-01-21	1.0902	3.0901	2.4904	0.7391	3.1349	4.4964	0.6182	0.1857	0.6549	0.2564	4.8709	5.4061	0.6432	1.3506	0.0545	3.8455	0.3646	0.2296	0.1987	0.4709	2.8806	1.0767	0.0414	0.0537	0.4841	0.1329	0.5398	0.1421	4.0044	238.1807	5.7675	0.2585
6	12-01-21	1.0914	3.0962	2.4907	0.7303	3.1443	4.5038	0.6205	0.1859	0.6549	0.2559	4.8715	5.4451	0.6426	1.3507	0.0547	3.8463	0.365	0.2328	0.2008	0.4708	2.8777	1.0765	0.0414	0.054	0.4837	0.1331	0.535	0.143	4.0088	239.7645	5.7761	0.2594
7	13-01-21	1.0897	3.1005	2.4919	0.7519	3.1425	4.5059	0.6186	0.1863	0.6551	0.2553	4.8738	5.4734	0.6431	1.3564	0.0547	3.8507	0.3647	0.2327	0.2016	0.473	2.8782	1.0772	0.0414	0.0542	0.4827	0.1332	0.5375	0.1432	4.0025	238.7503	5.7743	0.2616
8	14-01-21	1.0906	3.1106	2.4914	0.7559	3.1605	4.51	0.6199	0.1862	0.655	0.2558	4.8728	5.4698	0.6437	1.354	0.0549	3.8522	0.3657	0.2322	0.2027	0.4726	2.8823	1.0735	0.0414	0.0546	0.482	0.1336	0.5438	0.1426	4.0058	236.8801	5.777	0.2647
9	15-01-21	1.0937	3.1123	2.4919	0.773	3.1655	4.5274	0.6207	0.1864	0.6552	0.2565	4.8737	5.4853	0.6451	1.3544	0.055	3.8752	0.3656	0.2321	0.2032	0.4726	2.8885	1.0729	0.0414	0.0547	0.4815	0.1338	0.5437	0.1432	4.0172	239.4568	5.7889	0.2649
10	18-01-21	1.1	3.0975	2.492	0.7634	3.162	4.5329	0.6222	0.1861	0.6552	0.2574	4.874	5.4696	0.6453	1.3512	0.0551	3.8928	0.365	0.2326	0.2027	0.4679	2.8697	1.0718	0.0414	0.0544	0.4799	0.1341	0.5397	0.1431	4.0405	238.2202	5.8048	0.2633
